product_id,product_name,brand,type,price,avg_star,num_sold_time
40,Sữa rửa mặt nhau thai cừu tế bào gốc nhật 130gr,no_brand,dạng lỏng,24000.0,4.9,568
41,Sữa rửa mặt bơ thái,no_brand,no_type,30000.0,4.9,2700
42,sửa rửa mặt đông y 100ml,no_brand,no_type,29888.0,4.6,103
43,Sữa rửa mặt nhau thai cừu,no_brand,no_type,25000.0,4.9,184
44,"Sữa rửa mặt misswhite mụn, thâm",Miss White,no_type,30000.0,4.9,2700
45,Sữa rửa mặt giảm mụn cho da dầu Obagi Clenziderm MD Daily Care Foaming Cleanser 118ml,OBAGI,no_type,960000.0,4.9,955
46,Sữa Rửa Mặt Nhau Thai Cừu 130g,no_brand,no_type,22000.0,4.9,1200
47,Sữa rửa mặt đầu cọ tạo bọt Seimy - Face Cleanser Foam Collagen,SEIMY,dạng bọt,87000.0,5.0,17000
48,Sữa Rửa Mặt Cetaphil Gentle Skin Cleanser 473ml.,no_brand,dạng lỏng,200000.0,4.7,191
49,"Sữa rửa mặt CERAVE , da dầu, da mụn, da khô,, mọi loại da. dung tích 236ml",CeraVe,no_type,225000.0,4.8,8400
50,[Mã COSACD10 giảm 10% đơn 600K] Gel rửa mặt tạo bọt cho da dầu nhạy cảm La RochePosay 400ml,La Roche-Posay,dạng sánh,489000.0,4.9,42100
51,Sữa Rửa Mặt HadaLabo Advanced Nourish Hyaluron Cleanser 80g,Hada Labo,no_type,67500.0,4.9,20000
52,Sữa Rửa Mặt Cho Nam Skin&Dr Than Hoạt Tính 100g - Trắng da kiềm dầu,Skin&Dr	,no_type,179000.0,4.9,8400
53,Sữa rửa mặt Hazeline Chiết Xuất Thiên Nhiên 100g,no_brand,no_type,52000.0,4.9,12900
54,Sữa rửa mặt nam RHYS MAN hương dừa Rhys Coconut Fresh 100ml,RHYS MAN,dạng sánh,99000.0,4.9,1700
55,"Sữa rửa mặt nam 30Shine phân phối chính hãng Skin&dr Tràm trà 80g cho da mụn, da dầu, dưỡng ẩm trắng da",Skin&Dr	,no_type,194000.0,4.9,55
56,Sữa rửa mặt Gamaphil 125ml 150ml và 500ml,no_brand,no_type,116000.0,4.9,1400
57,Sữa Rửa Mặt Cosrx Low Ph 150ml,no_brand,no_type,24000.0,4.7,415
58,🇯🇵 SỮA RỬA MẶT NHAU THAI CỪU NHẬT BẢN,no_brand,no_type,28000.0,4.9,122
59,Sữa rửa mặt Wonder Bath PHA 5.5 tạo bọt dịu nhẹ - phù hợp ngay cả da nhạy cảm 130ml,BYVIBES WONDER BATH,dạng kem,145000.0,5.0,29000
60,Sữa rửa mặt sâm đỏ hàn quốc,no_brand,no_type,24000.0,4.7,952
61,Sữa rửa mặt dưỡng ẩm sáng da Hazeline yến mạch dâu tằm,HAZELINE,no_type,35000.0,5.0,189
62,[Bạn mới nhập COSHBM -50% đơn 0Đ] Gel Rửa Mặt Compliment No Problem Cho Da Nhờn Mụn,no_brand,no_type,102500.0,5.0,22000
63,"Sữa rửa mặt DAILY EFFECT - Làm sạch bụi bẩn, dầu nhờn, cân bằng độ pH cho Da, ngăn ngừa mụn",DAILY EFFECT,dạng lỏng,290000.0,5.0,609
64,Sữa Rửa Mặt Trắng Da Oriskin Cleanser Moisturizing 100ml,ORISKIN,no_type,99000.0,4.9,8600
65,"[ Nhập Pháp ] Sữa Rửa Mặt Cerave Foaming Facial Cleanser Dành Cho Da Dầu, Da Khô",no_brand,dạng kem,200000.0,4.8,705
66,Sữa rửa mặt Hồng sâm Hàn Quốc My Gold[Hàng chuẩn nắp đỏ],My gold,no_type,54000.0,4.9,1900
67,OXY Deep Wash (Scrub) - Kem rửa mặt có hạt sạch sâu 100g,no_brand,no_type,62800.0,4.9,355
68,Sữa rửa mặt trắng da Hatomugi Cleansing Foam hạt Ý Dĩ 130gr,no_brand,no_type,60000.0,4.9,3900
69,Cosrx sữa rửa mặt Low pH Good Morning Gel Cleanser 150ml,COSRX,no_type,123000.0,4.9,2500
70,Sữa Rửa Mặt Simple Kind To Skin 150ml,no_brand,no_type,28000.0,4.5,1300
71,Sữa rửa mặt Compliment No Problem 200ml giúp làm sạch và giảm mụn,Compliment,dạng sánh,95000.0,5.0,1900
