shopid,is_shopee_verified,is_preferred_plus_seller,is_official_shop,item_count,rating_star,follower_count,show_official_shop_label,rating_bad,rating_good,rating_normal
663,True,False,False,474,4.94365,64281,False,288,72775,653
697,False,False,False,127,4.97543,11523,False,1,411,1
664,True,True,False,535,4.960187,187665,False,311,138456,898
665,True,True,False,886,4.955049,214816,False,139,67395,494
666,True,True,False,259,4.969263,160872,False,68,68837,291
668,False,False,True,14,4.957089,5615,True,4,2912,25
669,False,False,False,187,4.985632,3083,False,0,1403,3
670,True,False,False,960,4.940372,44398,False,109,29779,315
671,False,False,False,2021,4.889734,43594,False,618,61389,1158
672,True,False,False,396,4.875172,15934,False,75,7350,176
673,True,False,False,58,4.949081,10787,False,38,10422,85
674,True,False,False,559,4.951753,20326,False,25,4705,27
675,True,False,False,1271,4.950327,11710,False,30,10268,74
676,False,False,False,313,4.949822,24543,False,9,3129,25
677,False,False,False,1181,4.839664,5539,False,165,11797,332
678,False,False,False,449,4.757021,19924,False,440,16124,653
679,False,False,False,581,4.889817,4693,False,257,18699,285
680,True,False,False,711,4.90792,5002,False,110,10483,135
681,False,False,False,190,4.723333,19197,False,25,577,28
682,True,False,False,124,4.942488,9127,False,89,17274,150
683,False,False,False,527,4.830764,7199,False,83,6638,183
684,False,False,False,22,5.0,23,False,0,12,0
685,False,False,True,321,4.926295,1704,True,3,499,4
686,False,False,False,175,4.94757,1830,False,13,3679,32
687,False,False,True,49,4.932584,38841,True,38,14608,173
688,True,False,False,171,4.884678,904,False,17,1826,27
689,False,False,False,442,4.954654,565,False,1,422,3
690,False,False,False,460,4.951318,50952,False,69,20216,167
691,True,True,False,674,4.980122,86638,False,22,41839,116
692,True,False,False,170,4.959803,3376,False,8,2299,12
693,False,False,False,3403,4.902813,24570,False,198,19745,281
694,True,False,False,416,4.947723,577,False,2,591,5
695,False,False,True,511,4.934185,371512,True,457,138886,1509
696,True,True,False,523,4.974936,6833,False,8,5538,16
698,True,False,False,558,4.957493,83369,False,168,60695,400
