cluster,segment_name,recency,recency,recency,frequency,frequency,frequency,monetary,monetary,monetary,sentiment,sentiment,sentiment
,,mean,std,count,mean,std,count,mean,std,count,mean,std,count
0,🌱 Promising Newcomers (Satisfied) (Group 0),521.2643372278227,119.93314665059017,101083,1.1269550765212746,0.4195394977217446,101083,178116.68772197104,146834.1285263288,101083,0.9996157608597387,0.006822327271346399,101083
1,🌱 Promising Newcomers (Satisfied) (Group 1),154.15163167305542,94.89360099748463,167221,1.2891024452670419,0.7221098246719524,167221,195361.53034606896,177003.66958700193,167221,0.9992790007381955,0.009116668733183508,167221
2,🗯️ Negative Detractors,315.381197681906,310.4959860916856,3106,1.0437862202189312,0.22561069318474153,3106,146246.08789439793,128145.05547812003,3106,0.09435214957386688,0.12299411690493578,3106
3,💤 General/Hibernating,280.87631887456035,238.0016415480155,10236,1.1315943728018758,0.4290094223882352,10236,173841.6440992575,148877.40163088433,10236,0.6807541376603442,0.11244675188672663,10236
4,✨ Positive Enthusiasts,1081.5678171884485,279.55842523317835,23062,1.0750585378544792,0.3182080964606847,23062,178642.62932529702,156992.10145974628,23062,0.9937088255963616,0.041004380150976634,23062
